ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-13T01:45:10.128732-07:00,KXBTC15M,KXBTC15M-26APR130445-45,no,2,194.2,1.8,no,false,5.800000000000011,97.1,2.986612
2026-04-13T01:45:10.129450-07:00,KXSOL15M,KXSOL15M-26APR130445-45,no,1,98.0,1.0,no,true,2.0,98.0,2.040816
2026-04-13T02:15:09.923084-07:00,KXETH15M,KXETH15M-26APR130515-15,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T02:15:09.930927-07:00,KXBTC15M,KXBTC15M-26APR130515-15,no,1,96.39999999999999,0.6,yes,true,3.6000000000000085,96.4,3.73444
2026-04-13T02:30:09.867696-07:00,KXSOL15M,KXSOL15M-26APR130530-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T02:30:09.868938-07:00,KXETH15M,KXETH15M-26APR130530-30,no,1,98.5,0.5,yes,false,1.5,98.5,1.522843
2026-04-13T02:30:09.875878-07:00,KXBTC15M,KXBTC15M-26APR130530-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T02:45:09.921880-07:00,KXETH15M,KXETH15M-26APR130545-45,no,1,98.2,0.8,no,false,1.7999999999999972,98.2,1.832994
2026-04-13T03:00:09.872004-07:00,KXSOL15M,KXSOL15M-26APR130600-00,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T03:00:09.874863-07:00,KXETH15M,KXETH15M-26APR130600-00,no,1,98.2,0.8,no,false,1.7999999999999972,98.2,1.832994
2026-04-13T03:15:10.126234-07:00,KXBTC15M,KXBTC15M-26APR130615-15,no,2,195.0,1.0,yes,false,5.0,97.5,2.564103
2026-04-13T03:15:10.128816-07:00,KXETH15M,KXETH15M-26APR130615-15,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T03:30:09.874144-07:00,KXSOL15M,KXSOL15M-26APR130630-30,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T03:30:09.879581-07:00,KXBTC15M,KXBTC15M-26APR130630-30,no,1,97.0,1.0,no,true,3.0,97.0,3.092784
2026-04-13T04:15:09.920695-07:00,KXETH15M,KXETH15M-26APR130715-15,no,1,98.2,0.8,yes,false,1.7999999999999972,98.2,1.832994
2026-04-13T04:15:09.926242-07:00,KXBTC15M,KXBTC15M-26APR130715-15,no,1,96.7,0.3,yes,false,3.299999999999997,96.7,3.412616
2026-04-13T04:30:09.875409-07:00,KXBTC15M,KXBTC15M-26APR130730-30,no,1,98.5,0.5,yes,false,1.5,98.5,1.522843
2026-04-13T04:45:19.979205-07:00,KXBTC15M,KXBTC15M-26APR130745-45,no,1,97.39999999999999,0.6,yes,true,2.6000000000000085,97.4,2.669405
2026-04-13T05:00:09.876718-07:00,KXBTC15M,KXBTC15M-26APR130800-00,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T05:15:09.938340-07:00,KXBTC15M,KXBTC15M-26APR130815-15,no,1,97.39999999999999,0.6,yes,false,2.6000000000000085,97.4,2.669405
2026-04-13T05:30:09.920735-07:00,KXETH15M,KXETH15M-26APR130830-30,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T05:30:09.927002-07:00,KXBTC15M,KXBTC15M-26APR130830-30,no,2,195.6,0.4,no,false,4.400000000000006,97.8,2.249489
