ts_local,buy_count,cost_cents,fill_side,pnl_cents,series,contract_cost,percent_gain
2026-03-22T19:00:10.991203-07:00,6,582.5999999999999,no,17.40000000000009,KXBTC15M,97.1,2.986612
2026-03-22T20:30:10.869723-07:00,3,288.29999999999995,no,11.700000000000045,KXBTC15M,96.1,4.058273
2026-03-22T20:45:10.868329-07:00,3,291.0,no,9.0,KXBTC15M,97.0,3.092784
2026-03-22T21:00:27.319853-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-22T23:15:10.904077-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-22T23:45:10.909226-07:00,3,284.09999999999997,no,15.900000000000034,KXBTC15M,94.7,5.596621
2026-03-23T00:15:10.805748-07:00,3,280.8,no,-280.8,KXBTC15M,93.6,-100.0
2026-03-23T00:30:50.854100-07:00,3,281.7,no,18.30000000000001,KXBTC15M,93.9,6.496273
2026-03-23T00:45:10.821036-07:00,3,293.4,yes,6.600000000000023,KXBTC15M,97.8,2.249489
2026-03-23T01:00:10.852457-07:00,3,291.6,yes,8.399999999999977,KXBTC15M,97.2,2.880658
2026-03-23T01:15:11.155348-07:00,3,280.20000000000005,yes,19.799999999999955,KXBTC15M,93.4,7.066381
2026-03-23T01:30:10.851093-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-23T02:00:10.851539-07:00,3,289.79999999999995,no,10.200000000000045,KXBTC15M,96.6,3.519669
2026-03-23T02:15:10.849380-07:00,3,281.4,no,18.600000000000023,KXBTC15M,93.8,6.609808
2026-03-23T02:15:10.851263-07:00,3,243.0,no,57.0,KXXRP15M,81.0,23.45679
2026-03-23T02:30:10.858290-07:00,3,280.20000000000005,no,19.799999999999955,KXBTC15M,93.4,7.066381
2026-03-23T02:45:10.803558-07:00,3,291.29999999999995,no,8.700000000000045,KXBTC15M,97.1,2.986612
2026-03-23T03:15:10.847232-07:00,3,282.0,yes,18.0,KXBTC15M,94.0,6.382979
2026-03-23T03:30:10.949852-07:00,3,291.29999999999995,no,8.700000000000045,KXBTC15M,97.1,2.986612
2026-03-23T03:45:10.856392-07:00,3,283.5,no,16.5,KXBTC15M,94.5,5.820106
2026-03-23T04:00:10.901301-07:00,3,283.2,yes,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-23T04:15:10.901357-07:00,3,291.29999999999995,yes,8.700000000000045,KXBTC15M,97.1,2.986612
2026-03-23T04:30:11.009257-07:00,3,290.1,no,9.899999999999977,KXBTC15M,96.7,3.412616
2026-03-23T04:45:10.805140-07:00,3,292.79999999999995,yes,7.2000000000000455,KXBTC15M,97.6,2.459016
2026-03-23T05:30:10.855359-07:00,3,283.5,yes,16.5,KXBTC15M,94.5,5.820106
2026-03-23T05:45:10.899530-07:00,3,294.9,yes,5.100000000000023,KXBTC15M,98.3,1.7294
2026-03-23T06:15:10.895683-07:00,4,320.0,no,80.0,KXXRP15M,80.0,25.0
2026-03-23T06:45:11.160661-07:00,3,292.2,yes,7.800000000000011,KXBTC15M,97.4,2.669405
2026-03-23T07:00:10.837066-07:00,4,308.0,yes,92.0,KXXRP15M,77.0,29.87013
2026-03-23T07:15:10.910830-07:00,3,283.2,yes,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-23T07:30:11.206095-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-23T07:45:10.886740-07:00,4,308.0,yes,92.0,KXXRP15M,77.0,29.87013
2026-03-23T07:45:10.903755-07:00,3,291.6,yes,8.399999999999977,KXBTC15M,97.2,2.880658
2026-03-23T08:15:10.911911-07:00,3,282.59999999999997,no,17.400000000000034,KXBTC15M,94.2,6.157113
2026-03-23T08:30:10.889434-07:00,3,286.79999999999995,no,13.200000000000045,KXSOL15M,95.6,4.60251
2026-03-23T08:30:10.905085-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-23T08:45:10.904526-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-23T09:00:10.906163-07:00,3,294.29999999999995,no,5.7000000000000455,KXBTC15M,98.1,1.936799
2026-03-23T09:00:10.910566-07:00,3,270.0,no,30.0,KXETH15M,90.0,11.111111
2026-03-23T09:15:20.904058-07:00,3,284.09999999999997,yes,15.900000000000034,KXBTC15M,94.7,5.596621
2026-03-23T09:30:10.887233-07:00,4,308.0,no,92.0,KXXRP15M,77.0,29.87013
2026-03-23T09:30:10.906056-07:00,3,291.0,no,9.0,KXBTC15M,97.0,3.092784
2026-03-23T09:45:10.897417-07:00,3,282.29999999999995,yes,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-23T09:45:10.902449-07:00,4,296.0,yes,104.0,KXXRP15M,74.0,35.135135
2026-03-23T10:00:10.892502-07:00,3,258.0,yes,42.0,KXETH15M,86.0,16.27907
2026-03-23T10:00:10.908859-07:00,3,292.79999999999995,yes,7.2000000000000455,KXBTC15M,97.6,2.459016
2026-03-23T10:15:11.111446-07:00,3,285.29999999999995,yes,14.700000000000045,KXBTC15M,95.1,5.152471
2026-03-23T10:30:10.908006-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-23T10:45:10.906414-07:00,11,1081.3,yes,18.700000000000045,KXBTC15M,98.3,1.7294
2026-03-23T11:00:10.792828-07:00,14,1120.0,yes,280.0,KXXRP15M,80.0,25.0
2026-03-23T11:00:10.809689-07:00,12,1129.1999999999998,yes,70.80000000000018,KXBTC15M,94.1,6.269926
2026-03-23T11:45:10.804383-07:00,12,1131.6,yes,68.40000000000009,KXBTC15M,94.3,6.044539
2026-03-23T12:15:10.890150-07:00,15,1155.0,no,345.0,KXXRP15M,77.0,29.87013
