ticker,result,open_time,close_time
KXBTC15M-26MAR170645-45,no,2026-03-17T10:30:00Z,2026-03-17T10:45:00Z
KXBTC15M-26MAR170630-30,yes,2026-03-17T10:15:00Z,2026-03-17T10:30:00Z
KXBTC15M-26MAR170615-15,no,2026-03-17T10:00:00Z,2026-03-17T10:15:00Z
KXBTC15M-26MAR170600-00,no,2026-03-17T09:45:00Z,2026-03-17T10:00:00Z
KXBTC15M-26MAR170545-45,no,2026-03-17T09:30:00Z,2026-03-17T09:45:00Z
KXBTC15M-26MAR170530-30,yes,2026-03-17T09:15:00Z,2026-03-17T09:30:00Z
KXBTC15M-26MAR170515-15,no,2026-03-17T09:00:00Z,2026-03-17T09:15:00Z
KXBTC15M-26MAR170500-00,no,2026-03-17T08:45:00Z,2026-03-17T09:00:00Z
KXBTC15M-26MAR170445-45,yes,2026-03-17T08:30:00Z,2026-03-17T08:45:00Z
KXBTC15M-26MAR170430-30,yes,2026-03-17T08:15:00Z,2026-03-17T08:30:00Z
KXBTC15M-26MAR170415-15,no,2026-03-17T08:00:00Z,2026-03-17T08:15:00Z
KXBTC15M-26MAR170400-00,no,2026-03-17T07:45:00Z,2026-03-17T08:00:00Z
KXBTC15M-26MAR170345-45,no,2026-03-17T07:30:00Z,2026-03-17T07:45:00Z
KXBTC15M-26MAR170330-30,yes,2026-03-17T07:15:00Z,2026-03-17T07:30:00Z
KXBTC15M-26MAR170315-15,yes,2026-03-17T07:00:00Z,2026-03-17T07:15:00Z
KXBTC15M-26MAR170300-00,yes,2026-03-17T06:45:00Z,2026-03-17T07:00:00Z
KXBTC15M-26MAR170245-45,no,2026-03-17T06:30:00Z,2026-03-17T06:45:00Z
KXBTC15M-26MAR170230-30,yes,2026-03-17T06:15:00Z,2026-03-17T06:30:00Z
KXBTC15M-26MAR170215-15,yes,2026-03-17T06:00:00Z,2026-03-17T06:15:00Z
KXBTC15M-26MAR170200-00,no,2026-03-17T05:45:00Z,2026-03-17T06:00:00Z
KXBTC15M-26MAR170145-45,no,2026-03-17T05:30:00Z,2026-03-17T05:45:00Z
KXBTC15M-26MAR170130-30,yes,2026-03-17T05:15:00Z,2026-03-17T05:30:00Z
KXBTC15M-26MAR170115-15,yes,2026-03-17T05:00:00Z,2026-03-17T05:15:00Z
KXBTC15M-26MAR170100-00,yes,2026-03-17T04:45:00Z,2026-03-17T05:00:00Z
KXBTC15M-26MAR170045-45,no,2026-03-17T04:30:00Z,2026-03-17T04:45:00Z
KXBTC15M-26MAR170030-30,no,2026-03-17T04:15:00Z,2026-03-17T04:30:00Z
KXBTC15M-26MAR170015-15,yes,2026-03-17T04:00:00Z,2026-03-17T04:15:00Z
KXBTC15M-26MAR170000-00,yes,2026-03-17T03:45:00Z,2026-03-17T04:00:00Z
KXBTC15M-26MAR162345-45,no,2026-03-17T03:30:00Z,2026-03-17T03:45:00Z
KXBTC15M-26MAR162330-30,no,2026-03-17T03:15:00Z,2026-03-17T03:30:00Z
KXBTC15M-26MAR162315-15,no,2026-03-17T03:00:00Z,2026-03-17T03:15:00Z
KXBTC15M-26MAR162300-00,no,2026-03-17T02:45:00Z,2026-03-17T03:00:00Z
KXBTC15M-26MAR162245-45,yes,2026-03-17T02:30:00Z,2026-03-17T02:45:00Z
KXBTC15M-26MAR162230-30,no,2026-03-17T02:15:00Z,2026-03-17T02:30:00Z
KXBTC15M-26MAR162215-15,no,2026-03-17T02:00:00Z,2026-03-17T02:15:00Z
KXBTC15M-26MAR162200-00,yes,2026-03-17T01:45:00Z,2026-03-17T02:00:00Z
KXBTC15M-26MAR162145-45,no,2026-03-17T01:30:00Z,2026-03-17T01:45:00Z
KXBTC15M-26MAR162130-30,yes,2026-03-17T01:15:00Z,2026-03-17T01:30:00Z
KXBTC15M-26MAR162115-15,yes,2026-03-17T01:00:00Z,2026-03-17T01:15:00Z
KXBTC15M-26MAR162100-00,yes,2026-03-17T00:45:00Z,2026-03-17T01:00:00Z
KXBTC15M-26MAR162045-45,yes,2026-03-17T00:30:00Z,2026-03-17T00:45:00Z
KXBTC15M-26MAR162030-30,no,2026-03-17T00:15:00Z,2026-03-17T00:30:00Z
KXBTC15M-26MAR162015-15,yes,2026-03-17T00:00:00Z,2026-03-17T00:15:00Z
KXBTC15M-26MAR162000-00,no,2026-03-16T23:45:00Z,2026-03-17T00:00:00Z
KXBTC15M-26MAR161945-45,yes,2026-03-16T23:30:00Z,2026-03-16T23:45:00Z
KXBTC15M-26MAR161930-30,yes,2026-03-16T23:15:00Z,2026-03-16T23:30:00Z
KXBTC15M-26MAR161915-15,no,2026-03-16T23:00:00Z,2026-03-16T23:15:00Z
